Name,Input Shapes,Call Stack,Host Self Duration(us),Host Total Duration(us),Device Self Duration(us),Device Total Duration(us),Device Self Duration With AICore(us),Device Total Duration With AICore(us)
aten::copy_,,,8.29,8.29,0,0,0,0
aten::empty,,,2.56,2.56,0,0,0,0
aten::neg,,,4.55,4.55,0,0,0,0
aten::sum,,,2.75,29.36,0,0,0,0
aten::sum,,,12.05,26.61,0,0,0,0
aten::as_strided,,,1.8,1.8,0,0,0,0
aten::to,,,1.53,11.57,0,0,0,0
aten::_to_copy,,,3.43,10.04,0,0,0,0
aten::empty_strided,,,1.85,1.85,0,0,0,0
aten::copy_,,,4.76,4.76,0,0,0,0
aten::fill_,,,1.19,1.19,0,0,0,0
aten::item,,,2.45,4.25,0,0,0,0
aten::_local_scalar_dense,,,1.8,1.8,0,0,0,0
aten::detach,,,3.41,3.41,0,0,0,0
aten::to,,,1.86,1.86,0,0,0,0
aten::resolve_conj,,,1.06,1.06,0,0,0,0
aten::resolve_neg,,,1.14,1.14,0,0,0,0
aten::lift_fresh,,,1.34,1.34,0,0,0,0
aten::unbind,,,3.38,11.32,0,0,0,0
aten::select,,,5.83,7.94,0,0,0,0
aten::as_strided,,,2.11,2.11,0,0,0,0
aten::item,,,2.33,4.18,0,0,0,0
aten::_local_scalar_dense,,,1.85,1.85,0,0,0,0
aten::empty,,,5.21,5.21,0,0,0,0
aten::to,,,0.97,0.97,0,0,0,0
aten::lift_fresh,,,0.77,0.77,0,0,0,0
aten::detach_,,,0.64,0.64,0,0,0,0
aten::full,,,7.8,60.81,0,1.94,0,0
empty_tensor,,,15.76,15.76,0,0,0,0
aten::fill_,,,19.55,37.25,0,1.94,0,0
aclnnInplaceFillScalar,,,17.7,17.7,1.94,1.94,0,0
aten::full,,,5.15,30.31,0,1.72,0,0
empty_tensor,,,9.53,9.53,0,0,0,0
aten::fill_,,,11.7,15.63,0,1.72,0,0
aclnnInplaceFillScalar,,,3.93,3.93,1.72,1.72,0,0
aten::slice,,,4.2,8.32,0,0,0,0
aten::as_strided,,,4.12,4.12,0,0,0,0
aten::copy_,,,142.49,177.44,0,0,0,0
aten::to,,,1.87,23.82,0,0,0,0
aten::_to_copy,,,5.2,21.95,0,0,0,0
aten::empty_strided,,,4.71,4.71,0,0,0,0
aten::copy_,,,12.04,12.04,0,0,0,0
aten::expand_as,,,2.09,7.47,0,0,0,0
aten::expand,,,2.98,5.38,0,0,0,0
aten::as_strided,,,2.4,2.4,0,0,0,0
acl_memcpy_host_to_device,,,3.66,3.66,0,0,0,0
aten::slice,,,5.04,10.21,0,0,0,0
aten::as_strided,,,5.17,5.17,0,0,0,0
aten::copy_,,,97.46,114.34,0,0,0,0
acl_memcpy_host_to_device,,,16.88,16.88,0,0,0,0
Event::record,,,370.24,398.61,0,0.02,0,0
record_event,,,28.37,28.37,0.02,0.02,0,0
aten::lift_fresh,,,2.46,2.46,0,0,0,0
aten::slice,,,10.51,13.99,0,0,0,0
aten::as_strided,,,3.48,3.48,0,0,0,0
aten::fill_,,,6.92,21.49,0,0,0,0
aten::copy_,,,14.57,14.57,0,0,0,0
aten::slice,,,6.16,13.19,0,0,0,0
aten::as_strided,,,7.03,7.03,0,0,0,0
aten::slice,,,2.99,4.88,0,0,0,0
aten::as_strided,,,1.89,1.89,0,0,0,0
aten::copy_,,,30.95,49.84,0,2.78,0,0
acl_memcpy_host_to_device,,,18.89,18.89,2.78,2.78,0,0
aten::slice,,,7.02,12.51,0,0,0,0
aten::as_strided,,,5.49,5.49,0,0,0,0
aten::to,,,34.83,186.34,0,1.4,0,0
npu::_npu_dtype_cast,,,116.53,151.51,0,1.4,0,0
empty_tensor,,,15.59,15.59,0,0,0,0
aclnnCast,,,19.39,19.39,1.4,1.4,0,0
aten::embedding,,,2458.55,2492.99,0,3.84,0,0
empty_tensor,,,15.38,15.38,0,0,0,0
aclnnEmbedding,,,19.06,19.06,3.84,3.84,0,0
vllm::maybe_pad_and_reduce,,,46.39,46.39,0,0,0,0
aten::slice,,,11.9,19.92,0,0,0,0
aten::as_strided,,,8.02,8.02,0,0,0,0
aten::copy_,,,98.47,104.31,0,1.28,0,0
aclnnInplaceCopy,,,5.84,5.84,1.28,1.28,0,0
aten::slice,,,8.21,13.19,0,0,0,0
aten::as_strided,,,4.98,4.98,0,0,0,0
aten::slice,,,5.24,9.33,0,0,0,0
aten::as_strided,,,4.09,4.09,0,0,0,0
npu_fx_compiler inference,,,776.02,2993.18,0,46.38,0,33.96
